category_id,category_name,description
CAT-001,AI,Innovative tools and apps in the AI space.
CAT-002,Productivity,Innovative tools and apps in the Productivity space.
CAT-003,Finance,Innovative tools and apps in the Finance space.
CAT-004,Health,Innovative tools and apps in the Health space.
CAT-005,Education,Innovative tools and apps in the Education space.
CAT-006,Developer Tools,Innovative tools and apps in the Developer Tools space.
CAT-007,Design,Innovative tools and apps in the Design space.
CAT-008,Gaming,Innovative tools and apps in the Gaming space.
CAT-009,Travel,Innovative tools and apps in the Travel space.
CAT-010,Shopping,Innovative tools and apps in the Shopping space.
CAT-011,Security,Innovative tools and apps in the Security space.
CAT-012,Career,Innovative tools and apps in the Career space.
CAT-013,Social,Innovative tools and apps in the Social space.
CAT-014,Music,Innovative tools and apps in the Music space.
CAT-015,Food,Innovative tools and apps in the Food space.
