match_id,app_id_1,app_id_2,match_percentage,reasoning,status
MCH-001,APP-001,APP-006,79%,Synergy discovered between PromptCraft and ApiShield. Cross-promotion could unlock shared user bases.,Approved
MCH-002,APP-001,APP-003,98%,Synergy discovered between PromptCraft and LedgerLy. Cross-promotion could unlock shared user bases.,Approved
MCH-003,APP-002,APP-013,91%,Synergy discovered between TaskFlow and VibeCheck. Cross-promotion could unlock shared user bases.,Approved
MCH-004,APP-002,APP-008,91%,Synergy discovered between TaskFlow and QuestBound. Cross-promotion could unlock shared user bases.,Approved
MCH-005,APP-003,APP-013,87%,Synergy discovered between LedgerLy and VibeCheck. Cross-promotion could unlock shared user bases.,Approved
MCH-006,APP-003,APP-027,89%,Synergy discovered between LedgerLy and LyricLab. Cross-promotion could unlock shared user bases.,Approved
MCH-007,APP-004,APP-006,97%,Synergy discovered between CalmPulse and ApiShield. Cross-promotion could unlock shared user bases.,Approved
MCH-008,APP-004,APP-009,95%,Synergy discovered between CalmPulse and RoamWise. Cross-promotion could unlock shared user bases.,Approved
MCH-009,APP-005,APP-030,70%,Synergy discovered between CodeSpark and FocusGrid. Cross-promotion could unlock shared user bases.,Approved
MCH-010,APP-005,APP-015,93%,Synergy discovered between CodeSpark and BiteTrack. Cross-promotion could unlock shared user bases.,Approved
MCH-011,APP-006,APP-028,95%,Synergy discovered between ApiShield and ChefBot. Cross-promotion could unlock shared user bases.,Approved
MCH-012,APP-006,APP-015,97%,Synergy discovered between ApiShield and BiteTrack. Cross-promotion could unlock shared user bases.,Approved
MCH-013,APP-007,APP-028,78%,Synergy discovered between MockupMagic and ChefBot. Cross-promotion could unlock shared user bases.,Approved
MCH-014,APP-007,APP-009,95%,Synergy discovered between MockupMagic and RoamWise. Cross-promotion could unlock shared user bases.,Approved
MCH-015,APP-008,APP-004,97%,Synergy discovered between QuestBound and CalmPulse. Cross-promotion could unlock shared user bases.,Approved
MCH-016,APP-008,APP-014,97%,Synergy discovered between QuestBound and BeatWeave. Cross-promotion could unlock shared user bases.,Approved
MCH-017,APP-009,APP-008,96%,Synergy discovered between RoamWise and QuestBound. Cross-promotion could unlock shared user bases.,Approved
MCH-018,APP-009,APP-007,81%,Synergy discovered between RoamWise and MockupMagic. Cross-promotion could unlock shared user bases.,Approved
MCH-019,APP-010,APP-029,97%,Synergy discovered between CartDrop and InsightAI. Cross-promotion could unlock shared user bases.,Approved
MCH-020,APP-010,APP-028,77%,Synergy discovered between CartDrop and ChefBot. Cross-promotion could unlock shared user bases.,Approved
MCH-021,APP-011,APP-023,82%,Synergy discovered between AuthLock and DealRadar. Cross-promotion could unlock shared user bases.,Approved
MCH-022,APP-011,APP-007,78%,Synergy discovered between AuthLock and MockupMagic. Cross-promotion could unlock shared user bases.,Approved
MCH-023,APP-012,APP-027,81%,Synergy discovered between ResumeRise and LyricLab. Cross-promotion could unlock shared user bases.,Approved
MCH-024,APP-012,APP-009,86%,Synergy discovered between ResumeRise and RoamWise. Cross-promotion could unlock shared user bases.,Approved
MCH-025,APP-013,APP-023,87%,Synergy discovered between VibeCheck and DealRadar. Cross-promotion could unlock shared user bases.,Approved
MCH-026,APP-013,APP-029,70%,Synergy discovered between VibeCheck and InsightAI. Cross-promotion could unlock shared user bases.,Approved
MCH-027,APP-014,APP-009,88%,Synergy discovered between BeatWeave and RoamWise. Cross-promotion could unlock shared user bases.,Approved
MCH-028,APP-014,APP-006,71%,Synergy discovered between BeatWeave and ApiShield. Cross-promotion could unlock shared user bases.,Approved
MCH-029,APP-015,APP-021,81%,Synergy discovered between BiteTrack and PixelForge. Cross-promotion could unlock shared user bases.,Approved
MCH-030,APP-015,APP-014,95%,Synergy discovered between BiteTrack and BeatWeave. Cross-promotion could unlock shared user bases.,Approved
MCH-031,APP-016,APP-015,86%,Synergy discovered between SynapseNote and BiteTrack. Cross-promotion could unlock shared user bases.,Pending
MCH-032,APP-016,APP-022,82%,Synergy discovered between SynapseNote and StayLocal. Cross-promotion could unlock shared user bases.,Ignored
MCH-033,APP-017,APP-008,71%,Synergy discovered between TaxBuddy and QuestBound. Cross-promotion could unlock shared user bases.,Ignored
MCH-034,APP-017,APP-010,83%,Synergy discovered between TaxBuddy and CartDrop. Cross-promotion could unlock shared user bases.,Pending
MCH-035,APP-018,APP-019,87%,Synergy discovered between SleepSage and LogBuddy. Cross-promotion could unlock shared user bases.,Ignored
MCH-036,APP-018,APP-028,93%,Synergy discovered between SleepSage and ChefBot. Cross-promotion could unlock shared user bases.,Ignored
MCH-037,APP-019,APP-026,76%,Synergy discovered between LogBuddy and PingMe. Cross-promotion could unlock shared user bases.,Approved
MCH-038,APP-019,APP-024,83%,Synergy discovered between LogBuddy and CryptGuard. Cross-promotion could unlock shared user bases.,Pending
MCH-039,APP-020,APP-024,89%,Synergy discovered between ColorWave and CryptGuard. Cross-promotion could unlock shared user bases.,Approved
MCH-040,APP-020,APP-012,91%,Synergy discovered between ColorWave and ResumeRise. Cross-promotion could unlock shared user bases.,Pending
MCH-041,APP-021,APP-026,86%,Synergy discovered between PixelForge and PingMe. Cross-promotion could unlock shared user bases.,Approved
MCH-042,APP-021,APP-011,91%,Synergy discovered between PixelForge and AuthLock. Cross-promotion could unlock shared user bases.,Approved
MCH-043,APP-022,APP-012,92%,Synergy discovered between StayLocal and ResumeRise. Cross-promotion could unlock shared user bases.,Approved
MCH-044,APP-022,APP-014,87%,Synergy discovered between StayLocal and BeatWeave. Cross-promotion could unlock shared user bases.,Pending
MCH-045,APP-023,APP-007,91%,Synergy discovered between DealRadar and MockupMagic. Cross-promotion could unlock shared user bases.,Approved
MCH-046,APP-023,APP-015,91%,Synergy discovered between DealRadar and BiteTrack. Cross-promotion could unlock shared user bases.,Ignored
MCH-047,APP-024,APP-006,88%,Synergy discovered between CryptGuard and ApiShield. Cross-promotion could unlock shared user bases.,Approved
MCH-048,APP-024,APP-021,82%,Synergy discovered between CryptGuard and PixelForge. Cross-promotion could unlock shared user bases.,Ignored
MCH-049,APP-025,APP-029,79%,Synergy discovered between JobSync and InsightAI. Cross-promotion could unlock shared user bases.,Approved
MCH-050,APP-025,APP-001,76%,Synergy discovered between JobSync and PromptCraft. Cross-promotion could unlock shared user bases.,Approved
MCH-051,APP-026,APP-028,89%,Synergy discovered between PingMe and ChefBot. Cross-promotion could unlock shared user bases.,Ignored
MCH-052,APP-026,APP-020,80%,Synergy discovered between PingMe and ColorWave. Cross-promotion could unlock shared user bases.,Approved
MCH-053,APP-027,APP-016,76%,Synergy discovered between LyricLab and SynapseNote. Cross-promotion could unlock shared user bases.,Ignored
MCH-054,APP-027,APP-023,85%,Synergy discovered between LyricLab and DealRadar. Cross-promotion could unlock shared user bases.,Ignored
MCH-055,APP-028,APP-006,72%,Synergy discovered between ChefBot and ApiShield. Cross-promotion could unlock shared user bases.,Approved
MCH-056,APP-028,APP-023,86%,Synergy discovered between ChefBot and DealRadar. Cross-promotion could unlock shared user bases.,Ignored
