review_id,app_id,user_id,rating,review_text,created_at
REV-001,APP-001,USR-048,4.2,"Decent app, but needs more integrations with third-party systems.",2026-08-10
REV-002,APP-001,USR-014,4.3,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-11
REV-003,APP-001,USR-016,4.3,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-11
REV-004,APP-002,USR-001,4.5,"Good concept, but the pricing model is a bit steep for small teams.",2026-08-08
REV-005,APP-002,USR-031,4.4,"Decent app, but needs more integrations with third-party systems.",2026-07-19
REV-006,APP-002,USR-046,4.4,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-05
REV-007,APP-003,USR-044,4.3,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-08-20
REV-008,APP-003,USR-041,4.6,"Decent app, but needs more integrations with third-party systems.",2026-07-28
REV-009,APP-003,USR-008,4.6,"Good concept, but the pricing model is a bit steep for small teams.",2026-07-10
REV-010,APP-004,USR-018,4.8,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-04
REV-011,APP-004,USR-011,4.8,A game-changer for my daily habits. Can't live without it now.,2026-08-17
REV-012,APP-004,USR-037,4.9,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-08
REV-013,APP-005,USR-030,4.7,"Good concept, but the pricing model is a bit steep for small teams.",2026-07-26
REV-014,APP-005,USR-018,4.6,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-29
REV-015,APP-005,USR-006,4.6,Outstanding performance and customer support. Resolved my issue in minutes.,2026-08-17
REV-016,APP-006,USR-021,4.6,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-06
REV-017,APP-006,USR-015,5.0,A game-changer for my daily habits. Can't live without it now.,2026-08-07
REV-018,APP-006,USR-002,5.0,"Good concept, but the pricing model is a bit steep for small teams.",2026-08-22
REV-019,APP-007,USR-018,4.6,"Decent app, but needs more integrations with third-party systems.",2026-07-31
REV-020,APP-007,USR-034,4.7,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-07-12
REV-021,APP-007,USR-038,4.5,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-06
REV-022,APP-008,USR-031,4.4,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-07-21
REV-023,APP-008,USR-043,4.2,"Decent app, but needs more integrations with third-party systems.",2026-07-22
REV-024,APP-008,USR-027,4.7,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-08-12
REV-025,APP-009,USR-026,4.8,A game-changer for my daily habits. Can't live without it now.,2026-07-03
REV-026,APP-009,USR-030,4.2,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-07-21
REV-027,APP-009,USR-008,5.0,Outstanding performance and customer support. Resolved my issue in minutes.,2026-08-25
REV-028,APP-010,USR-033,4.8,Absolutely changes the way I handle my workflow. Highly recommended!,2026-08-12
REV-029,APP-010,USR-035,4.5,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-13
REV-030,APP-010,USR-034,4.4,Outstanding performance and customer support. Resolved my issue in minutes.,2026-08-10
REV-031,APP-011,USR-029,4.8,"Decent app, but needs more integrations with third-party systems.",2026-07-18
REV-032,APP-011,USR-036,4.2,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-07-29
REV-033,APP-011,USR-045,4.5,Absolutely changes the way I handle my workflow. Highly recommended!,2026-08-10
REV-034,APP-012,USR-039,4.8,"Good concept, but the pricing model is a bit steep for small teams.",2026-07-11
REV-035,APP-012,USR-020,4.6,A game-changer for my daily habits. Can't live without it now.,2026-07-27
REV-036,APP-012,USR-006,4.3,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-30
REV-037,APP-013,USR-008,4.7,"Decent app, but needs more integrations with third-party systems.",2026-08-01
REV-038,APP-013,USR-046,4.4,"Good concept, but the pricing model is a bit steep for small teams.",2026-07-18
REV-039,APP-013,USR-027,4.9,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-16
REV-040,APP-014,USR-030,4.6,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-13
REV-041,APP-014,USR-039,4.6,"Decent app, but needs more integrations with third-party systems.",2026-08-25
REV-042,APP-014,USR-005,4.3,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-22
REV-043,APP-015,USR-033,4.3,Absolutely changes the way I handle my workflow. Highly recommended!,2026-07-19
REV-044,APP-015,USR-047,4.4,A game-changer for my daily habits. Can't live without it now.,2026-08-07
REV-045,APP-015,USR-043,4.5,"Decent app, but needs more integrations with third-party systems.",2026-07-29
REV-046,APP-016,USR-035,4.5,"The UI is incredibly slick, but I noticed a slight lag when loading large datasets.",2026-08-05
REV-047,APP-016,USR-049,4.6,Outstanding performance and customer support. Resolved my issue in minutes.,2026-08-29
REV-048,APP-016,USR-021,4.9,"Good concept, but the pricing model is a bit steep for small teams.",2026-07-16
REV-049,APP-017,USR-037,4.4,Outstanding performance and customer support. Resolved my issue in minutes.,2026-07-03
