event_id,app_id,event_title,event_type,scheduled_date,attendees_count
EVT-001,APP-001,Official Launch Day: PromptCraft,Beta Release Event,2026-07-02,1212
EVT-002,APP-002,Official Launch Day: TaskFlow,Product Hunt Launch,2026-08-27,547
EVT-003,APP-003,Official Launch Day: LedgerLy,Beta Release Event,2026-07-15,1080
EVT-004,APP-004,Official Launch Day: CalmPulse,Product Hunt Launch,2026-08-07,307
EVT-005,APP-005,Official Launch Day: CodeSpark,Beta Release Event,2026-07-10,2275
EVT-006,APP-006,Official Launch Day: ApiShield,Product Hunt Launch,2026-07-23,1053
EVT-007,APP-007,Official Launch Day: MockupMagic,Product Hunt Launch,2026-08-05,510
EVT-008,APP-008,Official Launch Day: QuestBound,LaunchMesh Live Demo,2026-07-03,1452
EVT-009,APP-009,Official Launch Day: RoamWise,Beta Release Event,2026-07-18,2034
EVT-010,APP-010,Official Launch Day: CartDrop,Product Hunt Launch,2026-08-12,663
EVT-011,APP-011,Official Launch Day: AuthLock,Product Hunt Launch,2026-07-16,2354
EVT-012,APP-012,Official Launch Day: ResumeRise,Product Hunt Launch,2026-08-23,1766
EVT-013,APP-013,Official Launch Day: VibeCheck,Beta Release Event,2026-07-05,2048
EVT-014,APP-014,Official Launch Day: BeatWeave,LaunchMesh Live Demo,2026-07-26,916
EVT-015,APP-015,Official Launch Day: BiteTrack,LaunchMesh Live Demo,2026-08-04,1415
EVT-016,APP-016,Official Launch Day: SynapseNote,LaunchMesh Live Demo,2026-07-09,342
EVT-017,APP-017,Official Launch Day: TaxBuddy,Product Hunt Launch,2026-07-11,2451
EVT-018,APP-018,Official Launch Day: SleepSage,Product Hunt Launch,2026-07-30,2291
EVT-019,APP-019,Official Launch Day: LogBuddy,Beta Release Event,2026-08-04,252
EVT-020,APP-020,Official Launch Day: ColorWave,Product Hunt Launch,2026-07-11,1811
EVT-021,APP-021,Official Launch Day: PixelForge,Product Hunt Launch,2026-07-07,248
EVT-022,APP-022,Official Launch Day: StayLocal,LaunchMesh Live Demo,2026-08-18,2129
EVT-023,APP-023,Official Launch Day: DealRadar,Product Hunt Launch,2026-08-01,1285
EVT-024,APP-024,Official Launch Day: CryptGuard,Product Hunt Launch,2026-08-26,137
EVT-025,APP-025,Official Launch Day: JobSync,LaunchMesh Live Demo,2026-08-19,2426
EVT-026,APP-026,Official Launch Day: PingMe,Beta Release Event,2026-08-25,539
EVT-027,APP-027,Official Launch Day: LyricLab,LaunchMesh Live Demo,2026-07-26,1265
EVT-028,APP-028,Official Launch Day: ChefBot,LaunchMesh Live Demo,2026-07-15,2325
EVT-029,APP-029,Official Launch Day: InsightAI,Beta Release Event,2026-07-01,2123
EVT-030,APP-030,Official Launch Day: FocusGrid,Product Hunt Launch,2026-07-22,2165
